"Story","Title","Result","Date","Stability","Duration (s)"
"Cálculo de Prima desde la Interfaz de Usuario","Calcular prima y ver resultado financiero","SUCCESS","2026-04-20T22:42:14.262732708Z[Etc/UTC]","0.0","9.92"
"Cálculo de Prima desde la Interfaz de Usuario","La prima comercial es mayor que la prima neta","SUCCESS","2026-04-20T22:42:24.284189661Z[Etc/UTC]","0.0","9.62"
"Cálculo de Prima desde la Interfaz de Usuario","Avanzar a términos tras calcular","SUCCESS","2026-04-20T22:42:34.002220715Z[Etc/UTC]","0.0","9.84"
"Cálculo de Prima desde la Interfaz de Usuario","La página de términos muestra las primas calculadas","SUCCESS","2026-04-20T22:42:43.937717108Z[Etc/UTC]","0.0","9.87"
"Creación de Folio desde el Cotizador","Crear folio completando el formulario básico","SUCCESS","2026-04-20T22:42:53.917068556Z[Etc/UTC]","0.0","3.22"
"Creación de Folio desde el Cotizador","Las cotizaciones recientes se muestran en el panel derecho","SUCCESS","2026-04-20T22:42:57.236885603Z[Etc/UTC]","0.0","1.39"
"Captura de Datos Generales del Asegurado","El botón Atrás regresa al cotizador","SUCCESS","2026-04-20T22:43:09.005991664Z[Etc/UTC]","0.0","3.58"
"Registro de Ubicaciones de Riesgo en UI","Definir layout de 2 ubicaciones","SUCCESS","2026-04-20T22:43:12.690870124Z[Etc/UTC]","0.0","5.72"
"Registro de Ubicaciones de Riesgo en UI","El botón Atrás regresa a datos generales","SUCCESS","2026-04-20T22:44:04.737637724Z[Etc/UTC]","0.0","4.64"
"Gestión de Cotizaciones en el Dashboard","El dashboard carga con título y tabla visibles","SUCCESS","2026-04-20T22:44:09.481273709Z[Etc/UTC]","0.0","1.67"
"Gestión de Cotizaciones en el Dashboard","El botón Nueva Cotización crea una cotización y navega a datos generales","SUCCESS","2026-04-20T22:44:11.250078396Z[Etc/UTC]","0.0","1.81"
"Gestión de Cotizaciones en el Dashboard","Eliminar cotización desde el dashboard","SUCCESS","2026-04-20T22:44:13.156015267Z[Etc/UTC]","0.0","2.53"
"Gestión de Cotizaciones en el Dashboard","Ver detalle de una cotización existente","SUCCESS","2026-04-20T22:44:15.78820757Z[Etc/UTC]","0.0","2.23"
"Gestión de Cotizaciones en el Dashboard","Editar cotización navega a datos generales","SUCCESS","2026-04-20T22:44:18.112503884Z[Etc/UTC]","0.0","2.34"
